feature_set_name,steering_value,turn,n,mean_target_activation_before,mean_target_activation_after,mean_hidden_delta_rms,mean_relative_hidden_delta_rms,mean_hook_calls
ae_public_targets,-2.0,final,20,0.001282495481427759,-1.9987190783023834,0.07443825118243694,0.13214067105791535,103.65
ae_public_targets,-2.0,induction,20,0.0025002998299896717,-1.9974918365478516,0.07443255186080933,0.0868634606572005,130.25
ae_public_targets,0.0,final,20,0.00100394458277151,,,,123.1
ae_public_targets,0.0,induction,20,0.0025002998299896717,,,,171.85
ae_public_targets,2.0,final,20,0.0015186104865279049,2.0015166878700255,0.07443858832120895,0.12917489667577614,105.6
ae_public_targets,2.0,induction,20,0.0025002998299896717,2.0024945735931396,0.07446540147066116,0.08690179644875455,114.7
random_22326_refusal,-2.0,final,20,0.007926018442958593,-1.992073082923889,0.02639998933300376,0.046898245182920836,114.55
random_22326_refusal,-2.0,induction,20,0.015008224174380302,-1.9849507808685303,0.026387972757220268,0.030795002671767303,131.45
random_22326_refusal,0.0,final,20,0.006642957811709494,,,,103.35
random_22326_refusal,0.0,induction,20,0.015008224174380302,,,,132.45
random_22326_refusal,2.0,final,20,0.0071741413441486655,2.0071805119514465,0.026389322150498627,0.04857500607230139,118.05
random_22326_refusal,2.0,induction,20,0.015008224174380302,2.014967203140259,0.02638600394129753,0.030792705045793574,156.85
random_irrelevant_active,-2.0,final,20,0.002071631088620052,-1.9979304909706115,0.06632092893123627,0.1212928580422243,110.75
random_irrelevant_active,-2.0,induction,20,0.004328142385929823,-1.9956551790237427,0.06630115956068039,0.07737405236079614,153.35
random_irrelevant_active,0.0,final,20,0.0016376032144762576,,,,111.05
random_irrelevant_active,0.0,induction,20,0.004328142385929823,,,,142.75
random_irrelevant_active,2.0,final,20,0.0016687448893208056,2.0016658186912535,0.06631140857934952,0.12328130192529778,110.9
random_irrelevant_active,2.0,induction,20,0.004328142385929823,2.004331111907959,0.06634065508842468,0.0774201439985888,165.05
target_58667_cover_story,-2.0,final,20,0.0,-1.9999999821186065,0.025170329865068196,0.04612672704472317,122.5
target_58667_cover_story,-2.0,induction,20,0.0,-2.0,0.02516886219382286,0.029372289627366033,154.65
target_58667_cover_story,0.0,final,20,0.0,,,,114.8
target_58667_cover_story,0.0,induction,20,0.0,,,,152.55
target_58667_cover_story,2.0,final,20,0.0,1.9999999821186065,0.025170341972261666,0.045799741093587726,113.55
target_58667_cover_story,2.0,induction,20,0.0,2.0,0.02527148462831974,0.029492050935807194,148.85
